type,name,adress,postal-code,city,geo-length,geo-width,open-houres,marks
PACZKOMAT,Paczkomat LES01G,17 Stycznia 25,64-100,Leszno,16.58118,51.83763,"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]",Przy markecie POLOmarket
PACZKOMAT,Paczkomat MLW02A,Dworcowa 5,06-501,Mława,20.34931,53.12754,"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]",Dworzec PKP Mława
POCZTA_POLSKA,FUP Rypin 1,59,87-337,Wąpielsk,19.2781639099121,53.1390190124512,"[{""day"":""MONDAY"",""from"":""07:15"",""to"":""14:15""},{""day"":""TUESDAY"",""from"":""07:15"",""to"":""14:15""},{""day"":""WEDNESDAY"",""from"":""07:15"",""to"":""14:15""},{""day"":""THURSDAY"",""from"":""07:15"",""to"":""14:15""},{""day"":""FRIDAY"",""from"":""13:00"",""to"":""20:00""}]",
PACZKOMAT,Paczkomat SOB01A,Kościuszki 32,08-460,Sobolew,21.66925,51.73963,"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]",Przy sklepie Top Market
POCZTA_POLSKA,UP Oborniki k. Poznania 1,Marszałka Józefa Piłsudskiego 30,64-600,Oborniki,16.8116130828857,52.6485977172852,"[{""day"":""SATURDAY"",""from"":""08:00"",""to"":""13:00""},{""day"":""WORKING"",""from"":""08:00"",""to"":""18:00""}]",
POCZTA_POLSKA,UP Nowy Wiśnicz,Rynek 6,32-720,Nowy Wiśnicz,20.461799621582,49.9146003723145,"[{""day"":""MONDAY"",""from"":""08:00"",""to"":""17:30""},{""day"":""TUESDAY"",""from"":""08:00"",""to"":""17:30""},{""day"":""WEDNESDAY"",""from"":""08:00"",""to"":""17:30""},{""day"":""THURSDAY"",""from"":""08:00"",""to"":""17:30""},{""day"":""FRIDAY"",""from"":""08:00"",""to"":""20:00""}]",
POCZTA_POLSKA,UP Nowy Tomyśl,Marszałka Józefa Piłsudskiego 5,64-300,Nowy Tomyśl,16.1321144104004,52.315616607666,"[{""day"":""SATURDAY"",""from"":""08:00"",""to"":""13:00""},{""day"":""WORKING"",""from"":""08:00"",""to"":""18:00""}]",
POCZTA_POLSKA,UP Krzyż Wielkopolski,Jana Pawła II 3,64-761,Krzyż Wielkopolski,16.0129776000977,52.8790740966797,"[{""day"":""SATURDAY"",""from"":""09:00"",""to"":""12:00""},{""day"":""WORKING"",""from"":""09:00"",""to"":""18:00""}]",
POCZTA_POLSKA,UP Krzywiń,Rynek 8,64-010,Krzywiń,16.8180923461914,51.9618530273438,"[{""day"":""MONDAY"",""from"":""10:00"",""to"":""20:00""},{""day"":""TUESDAY"",""from"":""08:00"",""to"":""17:00""},{""day"":""WEDNESDAY"",""from"":""08:00"",""to"":""17:00""},{""day"":""THURSDAY"",""from"":""08:00"",""to"":""17:00""},{""day"":""FRIDAY"",""from"":""08:00"",""to"":""17:00""}]",
PACZKOMAT,Paczkomat ALL01A,Piłsudskiego 2/4,95-070,Aleksandrów Łódzki,19.31632,51.81305,"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]",Przy markecie POLOmarket
